 query 
-------
     1
(1 row)

 count 
-------
    94
(1 row)

 query 
-------
     2
(1 row)

 id  |         name         
-----+----------------------
 248 | Jóna Rúnarsdóttir
 251 | Björn Björgvinsson
 250 | Elva Friðgeirsdóttir
(3 rows)

 query 
-------
     3
(1 row)

 id  |          name           
-----+-------------------------
   0 | Gréta Geirsdóttir
   1 | Jón Björgvinsson
   2 | Eva Rúnarsdóttir
   4 | Gréta Björnsdóttir
   6 | Sunneva Friðgeirsdóttir
   7 | Gunnar Benediktsson
   8 | Jóna Sunnevudóttir
   9 | Jón Elvuson
  10 | Jóna Jónsdóttir
  11 | Friðgeir Kristjánsson
  12 | Ása Ármannsdóttir
  13 | Ármann Geirsson
  14 | Eva Geirsdóttir
  15 | Björgvin Friðgeirsson
  16 | Ása Lovísudóttir
  17 | Rúnar Björnsson
  18 | Gréta Benediktsdóttir
  21 | Jón Friðgeirsson
  23 | Friðgeir Gunnarsson
  24 | Elva Kristjánsdóttir
  25 | Geir Jónsson
  28 | Sunneva Friðgeirsdóttir
  29 | Rúnar Benediktsson
  30 | Elva Björnsdóttir
  31 | Kristján Kristjánsson
  32 | Hulda Huldudóttir
  33 | Benedikt Rúnarsson
  35 | Friðgeir Geirsson
  36 | Hulda Jónsdóttir
  37 | Friðgeir Friðgeirsson
  39 | Jón Friðgeirsson
  40 | Angela Rúnarsdóttir
  43 | Björn Jónsson
  44 | Sunneva Sunnevudóttir
  45 | Friðgeir Björnsson
  46 | Lovísa Gunnarsdóttir
  48 | Jóna Kristjánsdóttir
  49 | Geir Elvuson
  50 | Jóna Huldudóttir
  51 | Benedikt Kristjánsson
  52 | Jóna Ármannsdóttir
  53 | Gunnar Angeluson
  54 | Lovísa Ármannsdóttir
  55 | Rúnar Björgvinsson
  56 | Eva Gunnarsdóttir
  57 | Geir Björnsson
  58 | Angela Geirsdóttir
  59 | Kristján Benediktsson
  60 | Elva Sunnevudóttir
  61 | Kristján Gunnarsson
  62 | Hulda Friðgeirsdóttir
  63 | Geir Friðgeirsson
  64 | Hulda Jónsdóttir
  66 | Ása Jónsdóttir
  67 | Geir Kristjánsson
  70 | Gréta Björnsdóttir
  71 | Friðgeir Björnsson
  72 | Angela Friðgeirsdóttir
  73 | Gunnar Sunnevuson
  74 | Helga Geirsdóttir
  75 | Björn Kristjánsson
  77 | Ármann Benediktsson
  78 | Helga Sunnevudóttir
  79 | Rúnar Björnsson
  81 | Rúnar Friðgeirsson
  83 | Friðgeir Jónsson
  85 | Friðgeir Ármannsson
  86 | Hulda Gunnarsdóttir
  87 | Rúnar Gunnarsson
  88 | Gréta Rúnarsdóttir
  90 | Gréta Kristjánsdóttir
  91 | Geir Geirsson
  93 | Björgvin Geirsson
  94 | Hulda Sunnevudóttir
  95 | Benedikt Geirsson
  97 | Geir Benediktsson
 100 | Helga Kristjánsdóttir
 101 | Gunnar Friðgeirsson
 103 | Rúnar Gunnarsson
 106 | Elva Jónudóttir
 107 | Ármann Kristjánsson
 109 | Rúnar Friðgeirsson
 110 | Ása Rúnarsdóttir
 113 | Ármann Ásuson
 114 | Lovísa Rúnarsdóttir
 116 | Angela Friðgeirsdóttir
 120 | Jóna Björnsdóttir
 121 | Geir Benediktsson
 122 | Sunneva Benediktsdóttir
 124 | Eva Gunnarsdóttir
 125 | Geir Björnsson
 128 | Helga Björgvinsdóttir
 129 | Gunnar Ármannsson
 130 | Eva Björgvinsdóttir
 131 | Friðgeir Jónuson
 132 | Elva Jónsdóttir
 133 | Björgvin Ármannsson
 134 | Jóna Jónsdóttir
 137 | Rúnar Björnsson
 138 | Jóna Ármannsdóttir
 140 | Lovísa Ármannsdóttir
 142 | Sunneva Angeludóttir
 143 | Benedikt Jónuson
 144 | Hulda Jónsdóttir
 147 | Benedikt Friðgeirsson
 150 | Elva Björgvinsdóttir
 151 | Gunnar Jónsson
 152 | Angela Rúnarsdóttir
 153 | Björn Friðgeirsson
 154 | Ása Björnsdóttir
 155 | Ármann Kristjánsson
 156 | Ása Geirsdóttir
 157 | Kristján Ármannsson
 158 | Hulda Björgvinsdóttir
 160 | Elva Geirsdóttir
 164 | Angela Björnsdóttir
 169 | Benedikt Friðgeirsson
