 id  |          name           | gender | height 
-----+-------------------------+--------+--------
   0 | Sunneva Björnsdóttir    | F      |   1.71
   1 | Björn Geirsson          | M      |   1.71
   3 | Benedikt Helguson       | M      |   1.88
   4 | Hulda Evudóttir         | F      |   1.77
   5 | Björn Jónuson           | M      |   1.73
   7 | Geir Benediktsson       | M      |   1.89
   9 | Gunnar Benediktsson     | M      |   1.89
  10 | Hulda Björgvinsdóttir   | F      |   1.72
  11 | Kristján Evuson         | M      |   1.84
  13 | Björgvin Björnsson      | M      |   1.82
  15 | Rúnar Geirsson          | M      |   1.71
  17 | Rúnar Rúnarsson         | M      |   1.85
  19 | Ármann Geirsson         | M      |   1.88
  21 | Geir Kristjánsson       | M      |   1.73
  23 | Ármann Ármannsson       | M      |   1.77
  24 | Hulda Kristjánsdóttir   | F      |   1.71
  25 | Björn Björnsson         | M      |   1.84
  26 | Lovísa Benediktsdóttir  | F      |   1.72
  27 | Friðgeir Gunnarsson     | M      |   1.87
  29 | Gunnar Benediktsson     | M      |   1.83
  30 | Gréta Rúnarsdóttir      | F      |   1.73
  31 | Gunnar Jónsson          | M      |   1.81
  32 | Lovísa Sunnevudóttir    | F      |   1.73
  33 | Geir Rúnarsson          | M      |   1.78
  34 | Sunneva Björgvinsdóttir | F      |   1.72
  35 | Björn Björnsson         | M      |   1.88
  36 | Hulda Jónsdóttir        | F      |   1.73
  37 | Friðgeir Rúnarsson      | M      |   1.74
  39 | Björn Lovísuson         | M      |   1.85
  40 | Angela Gunnarsdóttir    | F      |   1.72
  41 | Jón Ármannsson          | M      |   1.78
  43 | Rúnar Björgvinsson      | M      |   1.88
  45 | Kristján Benediktsson   | M      |   1.75
  47 | Geir Grétuson           | M      |   1.88
  49 | Björgvin Ármannsson     | M      |   1.72
  50 | Eva Björgvinsdóttir     | F      |   1.79
  51 | Björgvin Friðgeirsson   | M      |   1.85
  52 | Ása Friðgeirsdóttir     | F      |   1.75
  53 | Geir Kristjánsson       | M      |   1.73
  54 | Hulda Kristjánsdóttir   | F      |   1.79
  55 | Jón Kristjánsson        | M      |   1.79
  57 | Rúnar Kristjánsson      | M      |   1.76
  58 | Jóna Jónsdóttir         | F      |   1.72
  59 | Benedikt Benediktsson   | M      |   1.81
  61 | Kristján Björnsson      | M      |   1.85
  62 | Ása Geirsdóttir         | F      |   1.76
  63 | Geir Hulduson           | M      |   1.71
  65 | Rúnar Benediktsson      | M      |   1.71
  66 | Sunneva Friðgeirsdóttir | F      |   1.72
  67 | Björn Angeluson         | M      |   1.84
  68 | Ása Björgvinsdóttir     | F      |   1.71
  69 | Björn Friðgeirsson      | M      |   1.71
  70 | Hulda Geirsdóttir       | F      |   1.72
  71 | Geir Björnsson          | M      |   1.72
  72 | Gréta Huldudóttir       | F      |   1.76
  73 | Björn Rúnarsson         | M      |   1.88
  74 | Jóna Benediktsdóttir    | F      |   1.78
  75 | Björn Geirsson          | M      |   1.84
  76 | Helga Björgvinsdóttir   | F      |   1.73
  77 | Ármann Rúnarsson        | M      |   1.78
  78 | Ása Evudóttir           | F      |   1.73
  79 | Björn Björnsson         | M      |   1.82
  81 | Friðgeir Friðgeirsson   | M      |   1.75
  82 | Jóna Benediktsdóttir    | F      |   1.73
  83 | Friðgeir Gunnarsson     | M      |   1.78
  85 | Gunnar Jónsson          | M      |   1.87
  86 | Sunneva Kristjánsdóttir | F      |   1.74
  87 | Benedikt Ármannsson     | M      |   1.88
  89 | Ármann Geirsson         | M      |   1.84
  90 | Angela Friðgeirsdóttir  | F      |   1.79
  91 | Kristján Benediktsson   | M      |   1.89
  92 | Gréta Elvudóttir        | F      |   1.76
  93 | Björn Benediktsson      | M      |   1.84
  95 | Ármann Rúnarsson        | M      |   1.77
  97 | Geir Gunnarsson         | M      |   1.83
  99 | Rúnar Kristjánsson      | M      |   1.71
 100 | Hulda Jónsdóttir        | F      |   1.75
 101 | Ármann Geirsson         | M      |   1.77
 102 | Ása Friðgeirsdóttir     | F      |   1.77
 103 | Friðgeir Friðgeirsson   | M      |   1.89
 104 | Elva Benediktsdóttir    | F      |   1.78
 105 | Rúnar Björnsson         | M      |   1.71
 107 | Geir Hulduson           | M      |   1.87
 109 | Kristján Geirsson       | M      |   1.75
 111 | Geir Jónsson            | M      |   1.85
 112 | Sunneva Friðgeirsdóttir | F      |   1.73
 113 | Björgvin Jónsson        | M      |   1.86
 114 | Sunneva Helgudóttir     | F      |   1.77
 115 | Björgvin Rúnarsson      | M      |   1.73
